estado,viviendas_totales,viviendas_habitadas,agua,drenaje,electricidad,servicios_basicos,anio,agua_pct,drenaje_pct,electricidad_pct,servicios_basicos_pct
Nayarit,220118,219181,185802,175848,209079,157748,2000,84.41017999436666,79.88806004052373,94.98496261096321,71.6651977575664
Nuevo LeÃ³n,888552,878600,821797,797564,865650,775755,2000,92.48721515454356,89.75996902826171,97.42254814574723,87.30552629446561
Oaxaca,741005,738087,483240,336513,644576,279345,2000,65.21413485738962,45.413053893023665,86.98672748496973,37.698126193480476
Puebla,1065882,1028692,794987,674564,975131,591372,2000,74.58489776541869,63.28693044821097,91.48583051407192,55.481938901304275
QuerÃ©taro,298372,295143,260314,223465,277436,212755,2000,87.24478168192726,74.89476224310592,92.98325580148271,71.3052833375786
Quintana Roo,213566,210482,189354,176157,200632,161693,2000,88.662989427156,82.48363503553936,93.94379255124879,75.71102141726679
San Luis PotosÃ­,492914,489828,372992,304087,433295,283058,2000,75.67080667215782,61.691694697249424,87.90478663620834,57.42543323987551
Sinaloa,575292,572816,486494,425560,551385,394220,2000,84.56470800915014,73.97286942978522,95.84437120627439,68.52520111525973
Sonora,530435,527427,483057,417595,506906,399712,2000,91.06808562783377,78.72689396438773,95.56420673598085,75.35551010020077
Tabasco,412634,410388,284313,350280,385569,259965,2000,68.90198093225473,84.88878764231741,93.44091858644707,63.00135228798403
Tamaulipas,683068,677489,611645,503611,640917,487353,2000,89.54379359009644,73.72779869646946,93.82916488548723,71.34765499188953
Tlaxcala,194549,193288,174440,158894,187770,147031,2000,89.66378650108713,81.67299754817552,96.51553079172857,75.57530493603154
Veracruz de Ignacio de la Llave,1606194,1597311,1056224,1083299,1427839,869028,2000,65.75942881121458,67.44509069265605,88.89579963566044,54.104796805367215
YucatÃ¡n,373432,371242,332519,216964,353997,209597,2000,89.04405621371495,58.10000214229096,94.79557188457336,56.12721994901347
Zacatecas,299483,298217,249179,209491,284873,191265,2000,83.20305326178782,69.95088202001449,95.12159287839377,63.865060788091476
Aguascalientes,361676,289575,283042,283977,287266,278631,2010,78.25844125681549,78.51695993098795,79.42633738484169,77.03884139395481
Baja California,1143117,858676,807329,797017,840665,768074,2010,70.62522908853599,69.72313420236074,73.54146600916617,67.19119740149083
Baja California Sur,230239,175046,153073,163498,168603,146232,2010,66.484392305387,71.01229591858895,73.2295571123919,63.51313200630649
Campeche,256334,211632,179297,180904,204681,157629,2010,69.94663212839498,70.57354857334572,79.84933719288117,61.49359819610352
Coahuila de Zaragoza,900454,715158,689751,680759,708728,664048,2010,76.60035937427119,75.60175200509966,78.70785181697232,73.7459103963112
Colima,231110,177848,172426,175108,175972,170488,2010,74.60776253731989,75.76824888581196,76.14209683700402,73.76920081346545
Chiapas,1286213,1072560,788218,893964,1027957,688096,2010,61.282073808925894,69.50357366936892,79.92121056154774,53.4978265652734
Chihuahua,1228869,910647,858577,844279,876302,823763,2010,69.86725192026164,68.7037430352625,71.30963511977274,67.03424042758016
Distrito Federal,2745180,2388534,2312839,2362017,2375582,2301380,2010,84.25090522297263,86.04233602168165,86.53647483953694,83.83348268601695
Durango,528001,398471,368415,352339,382900,337833,2010,69.77543603137116,66.73074482813479,72.5188020477234,63.983401546587984
Guanajuato,1591372,1266772,1160162,1146034,1243934,1075082,2010,72.90325580693892,72.01546841341936,78.16739266494572,67.55692572195564
Guerrero,1093941,805230,496276,615830,767090,426806,2010,45.36588353485243,56.29462649265362,70.1216976052639,39.015449644907726
Hidalgo,892866,662651,576090,565707,641806,513300,2010,64.52143994731571,63.35855548312961,71.88155893493537,57.48902970882529
Jalisco,2316958,1802424,1697299,1754481,1782473,1668870,2010,73.25549276249289,75.72347017080155,76.93160601098509,72.02849598482148
MÃ©xico,4495144,3689053,3383410,3472355,3646743,3254605,2010,75.26811154436876,77.24680232713345,81.12627760089555,72.40268609859885
MichoacÃ¡n de Ocampo,1415933,1066630,935651,944928,1044515,859630,2010,66.08017469753159,66.73536106581314,73.76867408274262,60.711205968079
Morelos,649839,460868,401604,437684,454976,388726,2010,61.80053828717574,67.3526827414175,70.01364953473092,59.81881666074212
Nayarit,385264,288680,254306,271349,279468,243735,2010,66.00824369782798,70.43196353669173,72.53934964076582,63.26441089746252
Nuevo LeÃ³n,1529645,1191114,1135248,1139112,1170401,1114118,2010,74.21643583968829,74.46904347087069,76.51455076177805,72.83506957496674
Oaxaca,1231494,934471,649059,661454,881250,504254,2010,52.705007088950495,53.711508135646625,71.55942294481338,40.946525115022894
Puebla,1735626,1373772,1144569,1194959,1342158,1032510,2010,65.94560118366515,68.84887642844714,77.3299086323897,59.489198709860304
QuerÃ©taro,573758,450104,411735,409186,439566,384321,2010,71.7610909128936,71.31682695491828,76.61174223278803,66.98311831817595
Quintana Roo,476477,363066,325451,336831,348913,310907,2010,68.30361171682998,70.6919746388598,73.22766891161588,65.25120834793705
San Luis PotosÃ­,786572,631587,522730,509117,603636,455692,2010,66.45672614840092,64.72605177911241,76.7426249599528,57.93392086166301
Sinaloa,899048,709960,636953,647797,698624,602103,2010,70.84749646292524,72.05366120607576,77.70708571733657,66.9711739528924
Sonora,905662,705668,662273,632352,689120,605751,2010,73.12584606619247,69.8220749021158,76.0901970050637,66.8848864145785
Tabasco,662491,559114,410559,531759,549911,399455,2010,61.972011695253215,80.26659984814887,83.00656159857266,60.295913453918615
Tamaulipas,1168561,868244,812671,753760,841641,736426,2010,69.54459373537196,64.50326512693817,72.02371121404873,63.01990225585142
Tlaxcala,336256,272507,259620,256681,268330,246048,2010,77.2090312143129,76.33499476589265,79.79931956604491,73.17282070803198
Veracruz de Ignacio de la Llave,2429901,1983543,1508020,1662418,1915967,1351101,2010,62.06096462366162,68.41505065432708,78.84959099156714,55.60312951021461
YucatÃ¡n,638502,503106,471292,400748,489688,386055,2010,73.81214154380096,62.7637814760173,76.69326016206684,60.46261405602489
Zacatecas,498644,372662,340475,331947,366164,312095,2010,68.28017583686959,66.56993767096365,73.43194744146125,62.58874066468262
Aguascalientes,463972,375798,383430,383148,384361,380982,2020,82.640762804652,82.5799832748528,82.8414214650884,82.11314475873544
Baja California,1325949,1059756,1117719,1101573,1132622,1085176,2020,84.29577608188549,83.07808218868146,85.41972579639186,81.84145845730116
Baja California Sur,299873,226838,226124,231864,235285,220917,2020,75.40658878925412,77.32073244340104,78.46154872229243,73.67018704584942
Campeche,321634,251960,248625,245656,255453,236503,2020,77.30059632998999,76.37749740388143,79.4235062213572,73.53171617428505
Coahuila de Zaragoza,1078048,866309,889513,886984,895921,879659,2020,82.51144661462199,82.27685594704502,83.10585428478137,81.59738712933004
Colima,288978,216624,224122,224708,224634,222876,2020,77.55676902740001,77.75955263030404,77.73394514461309,77.125594335901
Chiapas,1694405,1325555,1207826,1226871,1317473,1129602,2020,71.28319380549515,72.40718718370165,77.75431493651163,66.66658797631027
Chihuahua,1401765,1093764,1125206,1105223,1125620,1095836,2020,80.27065877661377,78.84509885751177,80.3001929710044,78.17544310208915
Ciudad de MÃ©xico,3036239,2604348,2719720,2744306,2746872,2715805,2020,89.57529364453852,90.38504544602715,90.46955789712207,89.44635122597397
Durango,632975,475123,482430,467143,483167,461972,2020,76.21628026383348,73.80117698171334,76.3327145621865,72.98424108377108
Guanajuato,1992652,1548554,1538307,1531196,1573803,1496966,2020,77.19897904902612,76.8421179413164,78.980323709308,75.12430670282619
Guerrero,1316263,879603,831768,824631,920890,748860,2020,63.191626597420125,62.64940973042621,69.96246190920812,56.89288538840642
Hidalgo,1198017,829098,821517,812005,847206,787518,2020,68.57306699320628,67.7790882767106,70.717360438124,65.7351272978597
Jalisco,2960158,2216304,2296611,2294972,2305305,2280385,2020,77.58406814771374,77.52869948158173,77.87776868667146,77.0359217312049
MÃ©xico,5403492,4303449,4439141,4440083,4543258,4348371,2020,82.15318908587261,82.1706222568665,84.08003565101974,80.47334945624051
MichoacÃ¡n de Ocampo,1717578,1241899,1246400,1227072,1273522,1200512,2020,72.5673011647797,71.44199564735925,74.14638520055567,69.89563210520862
Morelos,819501,536176,536178,548632,556409,528548,2020,65.42737592754615,66.94708121161536,67.89607334219238,64.49632154201154
Nayarit,482910,352739,350333,346187,353523,340031,2020,72.54623014640408,71.68768507589405,73.20680872212213,70.41291337930463
Nuevo LeÃ³n,2037695,1545418,1636431,1633334,1645742,1625176,2020,80.30794598799133,80.15596053383848,80.76488385160684,79.75560621192082
Oaxaca,1570618,1111174,1008978,901346,1093796,832395,2020,64.24082749592836,57.38798358353209,69.6411221570108,52.99792820405725
Puebla,2170923,1657014,1632429,1625891,1695462,1566118,2020,75.1951589254893,74.89399670094241,78.09867047334245,72.14065169515455
QuerÃ©taro,826353,633960,651889,648556,661924,637478,2020,78.8874730290808,78.48413450426149,80.1018450952559,77.14354519194582
Quintana Roo,711722,512195,558100,556294,562025,546945,2020,78.4154487285766,78.1616979663408,78.96692809833053,76.84812328409126
San Luis PotosÃ­,964366,742012,715405,701951,761594,665847,2020,74.18397164562003,72.78885817210478,78.9735432398073,69.04505136016823
Sinaloa,1062027,837807,839718,827096,847989,818353,2020,79.0674813352203,77.8789993098104,79.84627509470099,77.05576223580003
Sonora,1079104,836235,860988,832304,864910,821949,2020,79.78730502342685,77.12917383310598,80.15075470019572,76.16958143052014
Tabasco,826800,656468,626974,651942,663718,614484,2020,75.83139816158683,78.85123367198838,80.27552007740687,74.32075471698113
Tamaulipas,1336750,1014397,1046765,1011145,1058620,1003258,2020,78.30671404525901,75.6420422666916,79.19356648587993,75.05202917523846
Tlaxcala,424275,326652,332426,329263,333902,326104,2020,78.35154086382653,77.60603382240292,78.69942843674504,76.86146956572978
Veracruz de Ignacio de la Llave,3013239,2286718,2181814,2171324,2352018,2033349,2020,72.40759860070841,72.05946823335289,78.05613826185045,67.48050851591924
YucatÃ¡n,837334,633198,647947,605627,649791,600074,2020,77.38214380402565,72.32800770063082,77.60236655862535,71.664831477045
Zacatecas,607828,433574,433505,425727,439161,419715,2020,71.32034062267614,70.04070230394125,72.25086702159163,69.05160670452825
